business_id,business_postal_code,business_latitude,business_longitude,inspection_score,violation_id,violation_description,inspection_year,inspection_month,inspection_day
65051,94110.0,37.761146999999994,-122.42153400000001,90.0,103124.0,1.0,2019,5,29
69181,94110.0,37.760777000000004,-122.42150500000001,96.0,103124.0,1.0,2019,5,29
66361,94118.0,37.782953000000006,-122.4637,86.0,103157.0,2.0,2019,5,22
70960,94102.0,37.777273,-122.423084,86.0,103154.0,1.0,2019,3,21
3491,94109.0,37.787677,-122.413624,88.0,103119.0,4.0,2019,5,30
1203,94118.0,37.780834000000006,-122.46659,83.0,103162.0,1.0,2019,8,14
1791,94121.0,37.781597,-122.492544,96.0,103142.0,1.0,2018,5,16
1712,94122.0,37.760508,-122.504572,87.0,103154.0,1.0,2019,9,18
63169,94110.0,37.754383000000004,-122.41861599999999,92.0,103116.0,3.0,2019,7,8
999,94110.0,37.756997,-122.420534,80.0,103161.0,1.0,2019,9,9
985,94116.0,37.742048,-122.499002,75.0,103124.0,1.0,2018,9,24
36687,94110.0,37.756893,-122.420849,92.0,103124.0,1.0,2019,8,13
2797,94109.0,37.785358,-122.421357,88.0,103120.0,3.0,2019,5,30
1724,94115.0,37.786497999999995,-122.430283,84.0,103131.0,1.0,2019,7,15
63755,94133.0,37.808240000000005,-122.41018899999999,68.0,103142.0,1.0,2019,8,14
64380,94111.0,37.793338,-122.399583,88.0,103143.0,4.0,2019,5,30
1366,94110.0,37.757436,-122.41888,72.0,103119.0,4.0,2019,9,18
68430,94103.0,37.784103,-122.403669,96.0,103124.0,1.0,2018,1,4
2589,94102.0,37.786363,-122.40835700000001,87.0,103103.0,3.0,2019,8,5
2589,94102.0,37.786363,-122.40835700000001,87.0,103124.0,1.0,2019,8,5
62462,94102.0,37.781518,-122.416982,83.0,103142.0,1.0,2019,6,12
1366,94110.0,37.757436,-122.41888,72.0,103144.0,2.0,2019,9,18
442,94133.0,37.797828,-122.407474,85.0,103154.0,1.0,2019,8,22
65860,94103.0,37.787096999999996,-122.404122,84.0,103130.0,4.0,2018,4,30
59574,94110.0,37.755479,-122.41758300000001,85.0,103142.0,1.0,2019,9,11
65241,94107.0,37.757815,-122.39014099999999,90.0,103120.0,3.0,2019,7,11
4864,94110.0,37.759174,-122.41906599999999,78.0,103116.0,3.0,2019,7,8
892,94104.0,37.791348,-122.39983400000001,92.0,103129.0,4.0,2019,6,13
65856,94101.0,37.774998,-122.418299,84.0,103116.0,3.0,2019,8,28
36875,94108.0,37.790184,-122.408468,94.0,103150.0,4.0,2019,6,4
59935,94110.0,37.741184000000004,-122.422693,86.0,103142.0,1.0,2019,9,4
67985,94103.0,37.774722,-122.40676100000002,88.0,103154.0,1.0,2019,9,23
1791,94121.0,37.781597,-122.492544,88.0,103161.0,1.0,2018,12,7
3951,94121.0,37.779962,-122.48508700000001,77.0,103138.0,3.0,2019,7,29
60472,94108.0,37.789995000000005,-122.405484,81.0,103154.0,1.0,2019,5,31
61500,94118.0,37.781143,-122.459709,94.0,103144.0,2.0,2019,7,2
